Modele,Precision (Pollueurs),Rappel (Pollueurs),FP Rate (Pollueurs),F-mesure (Pollueurs),AUC ROC 
Decision Tree,0.9092,0.9127,0.1051,0.911,0.9628
Bagging,0.9047,0.9073,0.1102,0.906,0.9539
AdaBoost,0.9109,0.9134,0.103,0.9122,0.9636
Gradient Boosting,0.9208,0.9237,0.0916,0.9223,0.9695
Random Forest,0.9108,0.9098,0.1027,0.9103,0.9599
Naives baysien,0.8676,0.8684,0.1528,0.868,0.9306
