Modele,Precision (Pollueurs),Rappel (Pollueurs),FP Rate (Pollueurs),F-mesure (Pollueurs),AUC ROC 
Decision Tree,0.4277,0.6891,0.0462,0.5278,0.8284
Bagging,0.4674,0.8549,0.0488,0.6044,0.9706
AdaBoost,0.6409,0.601,0.0169,0.6203,0.9587
Gradient Boosting,0.8074,0.5648,0.0067,0.6646,0.9693
Random Forest,0.6441,0.7876,0.0218,0.7086,0.9719
Naives baysien,0.308,0.3575,0.0402,0.3309,0.8775
